情绪类别,情绪序号,情绪词,内容描述,生成有效,BS有效,备注,BS效果明显
基础情绪,1,neutral ,小女孩面无表情，眼神平静，没有明显的情绪波动。,是,是,多个落寞没什么区别，都是低头垂眼,
基础情绪,2,happy ,小女孩张开双臂，灿烂地微笑，眼中闪烁着快乐的光芒，跳跃或旋转着表达兴奋,是,否,,
基础情绪,3,sad,小女孩眼神低落，嘴角下垂，脸上有泪痕，静静地坐着，显得非常伤心,是,是 ,没有幸福,
基础情绪,4,fear,一个小女孩缩在房间里，眼神惊恐不安，身体微微颤抖，双手抱紧自己，表情紧张害怕,是,是,动画效果夸张,
基础情绪,5,angry ,小女孩眉头紧皱，眼神锐利，脸颊泛红，双手叉腰或握拳。,是,是,,
基础情绪,6,surprised ,小女孩瞪大双眼，嘴巴微张，眉毛上扬，身体微微后仰，呈现出被突然事情惊到的模样,是,是,,
基础情绪,7,disgust ,小女孩皱起鼻子，撇嘴，眉毛下压，满脸嫌恶的表情,是,是,,1
基础情绪,8,bad ,小女孩面露不满，撅嘴，眉头皱起，表情带有厌烦和不高兴,是,是,,1
基础情绪,9,powerful ,小女孩站得笔直，眼神坚定自信，嘴角微微上扬，双手叉腰，姿态昂扬有力，充满主导感。,是,是,,
基础情绪,10,peaceful ,小女孩安静地坐在窗边，面带宁静微笑，眼神温柔，身体放松，给人祥和平和的感觉,是,是,,
细分情绪,11,abandoned,小女孩孤零零地坐在房间中央，眼神黯淡，低着头，神情落寞，身体微微发抖,是,是,,
细分情绪,12,acceptance,小女孩微扬嘴角，神情释然，目光柔和，自然点头，脸上浮现理解和接纳的表情,是,是,动画效果夸张,
细分情绪,13,accepted,小女孩露出微笑，神情轻松，眼中充满暖意，身体放松，脸上洋溢着被接纳的幸福感,否,否,,
细分情绪,14,aggressive,一个小女孩皱着眉头，咬牙切齿，握紧拳头，脸上带着愤怒的神情，目光锐利，充满攻击性,否,否,,
细分情绪,15,alienated,小女孩远远地站在房间一角，眼神游离，似乎与周围隔阂，表情疏离冷漠，双手抱胸。,是,是,,
细分情绪,16,amazed,小女孩双眼睁大，嘴巴张开，脸上满是惊奇与兴奋的神情,是,是,,
细分情绪,17,amused,小女孩微笑着，偶尔忍俊不禁地咧嘴笑，她的眼睛里闪烁着愉快与调皮的光芒。,是,是,东张西望,
细分情绪,18,annoyed,小女孩皱着眉头嘟起嘴巴，双手抱臂，重重地跺了一下脚，眼神带着不耐烦与生闷气，表情十分烦躁,是,是,,
细分情绪,19,anxious,一个小女孩紧张地搓着手指，眼神四处游移，神情焦虑不安,是,是,类人,
细分情绪,20,apathetic,一个小女孩面无表情，眼神呆滞地望向远方，整个人显得无精打采，无动于衷，对周围环境毫无兴趣。,是,是,,
细分情绪,21,appalled,小女孩瞪大双眼，嘴巴微张，双手捂住脸颊，露出震惊和害怕的表情,否,否,,
细分情绪,22,appreciated,小女孩露出温暖的笑容，眼神中充满感激，轻轻抱着自己，好像在感受关爱,是,是,,
细分情绪,23,aroused,小女孩眼神迷离，呼吸微促，双颊泛红，时而舔唇，表情娇羞且略带期待,是,是,,
细分情绪,24,ashamed,一个小女孩低着头，双手交叉捏在一起，眼神闪躲，脸颊微微发红，身体微微蜷缩，表情充满羞愧和懊恼,是,是,,
细分情绪,25,astonished,小女孩睁大双眼，嘴巴张开，眉毛上扬，脸上流露出强烈的惊讶和不可思议,是,否,,
细分情绪,26,attentive,小女孩目不转睛地看向前方，双手放在膝盖上，背脊挺直，神情专注认真,否,否,,
细分情绪,27,aversion,小女孩皱着鼻子，眉头紧锁，侧过头避免目光接触，脸上写满了嫌恶和抗拒,是,是,,
细分情绪,28,avoidance,一个小女孩躲避着别人的目光，身体微微侧身，故意转开脸，眼神游离，神情有些紧张和不安，她双手交握在一起，像在躲避某件事情。,是,是,,
细分情绪,29,aware,小女孩环顾四周，眼神明亮，目光专注，神情敏锐，表现出对周围环境的察觉,是,是,,
细分情绪,30,awe,一个小女孩睁大双眼，嘴巴微张，脸上写满了惊叹和敬畏，仿佛看到令人震撼的事物，神情非常投入,是,是,,
